Stack,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip
4,2,R55,1K0R,603,18.95,29.7,90,0
4,2,R59,1K0R,603,18.95,32.75,90,0
4,2,R60,1K0R,603,18.95,36.04,90,0
4,2,R54,1K0R,603,10.65,37.87,90,0
4,2,R56,1K0R,603,56.78,41.32,0,0
4,2,R19,1K0R,603,54.86,41.64,90,0
4,2,R63,1K0R,603,55.4,43.82,0,0
4,2,R83,1K0R,603,49.3,56.62,90,0
4,2,R25,1K0R,603,49.2,60.65,90,0
4,2,R30,1K0R,603,49.23,63.67,90,0
8,2,R70,47R,603,26.97,66.97,90,0
4,2,R26,1K0R,603,49.2,68.24,90,0
8,2,R68,47R,603,9.02,72.46,90,0
8,2,R72,47R,603,41.32,72.44,0,0
4,2,R31,1K0R,603,49.2,72.96,90,0
4,2,R27,1K0R,603,49.18,77.73,90,0
4,2,R32,1K0R,603,49.25,80.8,90,0
8,2,R42,47R,603,5.57,37.59,0,0
8,2,R52,47R,603,7.23,38.43,0,0
8,2,R64,47R,603,5.8,53.22,0,0
8,2,R23,47R,603,38.62,69.58,0,0
8,2,R48,47R,603,43.24,76.48,0,0
8,2,R44,47R,603,31.06,78.86,0,0
8,2,R39,47R,603,16.21,79.4,90,0
8,2,R47,47R,603,31.18,82.41,0,0
8,2,R41,47R,603,2.61,82.93,0,0
8,2,R46,47R,603,16.99,83.02,0,0
9,2,C50,33nF,603,3.43,36.33,90,0
9,2,C48,33nF,603,3.42,37.88,90,0
9,2,C45,33nF,603,12.37,66.01,90,0
9,2,C46,33nF,603,19.93,68.72,0,0
9,2,C79,33nF,603,35.21,69.75,90,0
9,2,C47,33nF,603,15.15,70.58,0,0
1,2,R8,56K0R,603,31.62,10.02,90,0
1,2,R4,56K0R,603,28.9,10.1,90,0
1,2,R5,56K0R,603,9.3,10.14,90,0
1,2,R9,56K0R,603,12.16,10.14,90,0
1,2,R3,56K0R,603,47.75,10.1,90,0
1,2,R7,56K0R,603,50.45,10.1,90,0
1,2,R10,56K0R,603,28.13,44.36,0,0
1,2,R6,56K0R,603,28.15,47.07,0,0
1,2,R22,56K0R,603,41.6,65.69,0,0
1,2,R28,DNP,603,29.65,68.66,90,1
1,2,R21,56K0R,603,49.14,69.81,90,0
1,2,R66,DNP,603,40.99,70.03,90,1
1,2,R24,56K0R,603,9.1,74.03,90,1
14,2,C36,12pF,603,44.39,59.38,-45,0
14,2,C39,12pF,603,43.38,63.49,90,0
3,2,C7,680pF,603,28.7,8.24,90,0
3,2,C11,680pF,603,31.73,8.27,90,0
3,2,C12,680pF,603,12.27,8.41,90,0
3,2,C8,680pF,603,9.19,8.41,90,0
3,2,C10,680pF,603,50.6,8.37,90,0
3,2,C6,680pF,603,47.6,8.37,90,0
3,2,C13,680pF,603,26.67,44.25,0,0
3,2,C9,680pF,603,26.67,47.22,0,0
3,2,C86,680pF,603,30.52,89.78,0,0
3,2,C85,680pF,603,16.27,90.23,0,0
3,2,C84,680pF,603,1.58,90.51,0,0
6,2,R53,1K47R,603,10.58,39.45,90,0
6,2,R62,DNP,603,21.74,34.86,0,1
6,2,R34,1K47R,603,10.83,42.46,0,0
6,2,R33,1K47R,603,13.63,42.47,0,0
6,2,R29,1K47R,603,16.42,42.48,0,0
6,2,R20,1K47R,603,54.73,46.04,90,0
6,2,R84,1K47R,603,20.01,50.05,0,0
6,2,R61,1K47R,603,8.54,52.97,0,0
6,2,R2,1K47R,603,27.75,53.99,0,0
6,2,R1,1K47R,603,29.29,54.86,0,0
6,2,R65,DNP,603,54.76,57.61,90,1
6,2,R82,1K47R,603,54.81,59.32,90,0
6,2,R35,DNP,603,49.13,65.17,90,1
6,2,R79,1K47R,603,24.34,66.51,90,0
6,2,R77,1K47R,603,8.98,67.67,90,0
6,2,R81,1K47R,603,36.58,71.8,90,0
6,2,R36,DNP,603,49.13,74.49,90,1
6,2,R37,DNP,603,51.78,82.05,90,1
6,2,R80,1K47R,603,30.92,87.43,90,0
6,2,R78,1K47R,603,16.64,87.91,90,0
6,2,R76,1K47R,603,2.2,88.25,90,0
5,2,C4,220nF,603,16.56,10.83,90,0
5,2,C3,220nF,603,36.31,11.17,90,0
5,2,C2,220nF,603,55.6,11.4,90,0
5,2,C38,220nF,603,4.92,18.9,0,0
5,2,C67,220nF,603,43.24,18.98,0,0
5,2,C27,220nF,603,24.12,19.03,0,0
5,2,C28,220nF,603,17.61,19.06,0,0
5,2,C37,220nF,603,36.7,19.37,0,0
5,2,C26,220nF,603,55.68,19.4,0,0
5,2,C21,220nF,603,28,23.3,90,0
5,2,C19,220nF,603,47.33,23.38,90,0
5,2,C23,220nF,603,8.92,23.41,90,0
5,2,C16,220nF,603,12.69,23.73,0,0
5,2,C15,220nF,603,31.78,23.74,0,0
5,2,C22,220nF,603,11.1,23.74,0,0
5,2,C20,220nF,603,30.26,23.75,0,0
5,2,C18,220nF,603,49.52,23.81,0,0
5,2,C14,220nF,603,50.94,23.82,0,0
5,2,C40,220nF,603,37.33,39.23,90,0
5,2,C5,220nF,603,29.55,39.41,0,0
5,2,C72,220nF,603,54,43.77,0,0
5,2,C17,220nF,603,42.13,43.98,90,0
5,2,C24,220nF,603,42.13,45.43,90,0
5,2,C25,220nF,603,41.77,47.56,0,0
5,2,C58,220nF,603,7.51,49.67,90,0
5,2,C29,220nF,603,37.37,51.67,90,0
5,2,C1,220nF,603,26.24,53.95,0,0
5,2,C82,220nF,603,35.34,54.71,90,0
5,2,C80,220nF,603,35.33,56.33,90,0
5,2,C88,220nF,603,8.41,57.87,0,0
5,2,C30,220nF,603,48.95,59.01,90,0
5,2,C73,220nF,603,9.04,60.79,0,0
5,2,C74,220nF,603,7.65,60.79,0,0
5,2,C33,220nF,603,48.97,62.01,90,0
5,2,C43,220nF,603,10.65,63.73,0,0
5,2,C87,220nF,603,43.02,65.64,0,0
5,2,C31,220nF,603,48.96,66.62,90,0
5,2,C77,220nF,603,6.19,67.58,90,0
5,2,C41,220nF,603,37.16,69.53,0,0
5,2,C34,220nF,603,48.97,71.25,90,0
5,2,C32,220nF,603,48.97,76.07,90,0
5,2,C35,220nF,603,48.97,79.14,90,0
5,2,C42,220nF,603,51.77,83.52,90,0
10,2,R49,470K0R,603,40.86,76.86,90,0
10,2,R45,470K0R,603,28.76,77.11,90,0
10,2,R40,470K0R,603,13.44,77.64,90,0
10,2,R51,470K0R,603,31.14,85.21,0,0
10,2,R43,470K0R,603,2.54,85.57,0,0
10,2,R50,470K0R,603,16.92,85.72,0,0
11,2,R69,24K3R,603,25.5,62.86,0,0
11,2,R74,24K3R,603,24.35,64.84,90,0
11,2,R73,24K3R,603,8.98,69.23,90,0
11,2,R67,24K3R,603,8.92,70.86,90,0
11,2,R75,24K3R,603,39.23,71.62,90,0
11,2,R71,24K3R,603,39.24,73.19,90,0
7,2,C61,10uF,1206,2.8,19.85,0,0
7,2,C52,10uF,1206,21.8,20.14,0,0
7,2,C62,10uF,1206,40.4,20.18,0,0
7,2,C64,10uF,1206,44.1,50.81,0,0
7,2,C89,10uF,1206,6.7,57.23,0,0
7,2,C49,10uF,1206,6.05,64.76,0,0
7,2,C44,10uF,1206,8.85,64.76,0,0
7,2,C59,10uF,1206,37.8,86.89,90,0
7,2,C53,10uF,1206,23.47,87.14,90,0
7,2,C66,10uF,1206,9.04,87.14,90,0
7,2,C56,10uF,1206,43.43,88.93,90,0
7,2,C60,10uF,1206,37.84,89.53,90,0
7,2,C65,10uF,1206,23.47,89.63,90,0
7,2,C54,10uF,1206,9.04,89.68,90,0
7,2,C55,10uF,1206,44.7,92.46,0,0
12,2,R58,0R005,1206,33.78,88.51,0,0
12,2,R57,0R005,1206,19.56,88.66,0,0
12,2,R38,0R005,1206,5.18,88.71,0,0
2,2,R13,0R090,1206,18.1,14.95,0,0
2,2,R17,0R090,1206,4.69,14.95,0,0
2,2,R12,0R090,1206,37.27,15.05,0,0
2,2,R16,0R090,1206,23.85,15.05,0,0
2,2,R11,0R090,1206,56.2,15.1,0,0
2,2,R15,0R090,1206,43,15.1,0,0
2,2,R14,0R090,1206,33.3,39.09,90,0
2,2,R18,0R090,1206,33.34,52.4,90,0
13,2,D3,Zener6V,SOD123,3.25,31.86,135,0
13,2,D2,Zener6V,SOD123,6.6,71.91,135,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Reel,Nozzle,Reference,Comment,,X(mm),Y(mm),Rotation,SKip
16,2,Y1,OSC16MHZ,SMD2016,43.45,61.08,-45,0
15,2,D1,LM4040,SOT23,55.35,38.79,-90,0
25,1,Q1,IRF5406,PQFN8(5x6),12.38,82.08,90,0
25,1,Q2,IRF5406,PQFN8(5x6),6.3,82.3,-90,0
25,1,Q3,IRF5406,PQFN8(5x6),26.67,81.95,90,0
25,1,Q4,IRF5406,PQFN8(5x6),20.7,82.14,-90,0
25,1,Q5,IRF5406,PQFN8(5x6),40.78,81.5,90,0
25,1,Q6,IRF5406,PQFN8(5x6),34.91,81.55,-90,0
27,1,U1,DRV8818,TSSOP28,49.3,16.7,90,0
27,1,U2,DRV8818,TSSOP28,30.36,16.87,90,0
27,1,U3,DRV8818,TSSOP28,11.04,16.77,90,0
27,1,U4,DRV8818,TSSOP28,34.86,45.69,0,0
26,1,IC1,ATmega32M1,TQFP32(7x7),36.25,62.76,90,0
0,1,U5,A4910,LQFP48,16.99,60.7,0,0
